Название,Цена,Изменение,Общая капитализация
Horizen,$13.97,+2.90%,"$180,137,157"
SXP,$0.3582,+0.52%,"$179,003,741"
Audius,$0.2143,+2.74%,"$178,054,127"
WOO Network,$0.1403,+2.50%,"$161,981,571"
UMA,$2.35,-1.75%,"$161,844,544"
ABBC Coin,$0.1579,+0.81%,"$161,102,413"
Smooth Love Potion,$0.003735,-12.90%,"$160,371,128"
SKALE Network,$0.03903,+0.94%,"$155,665,395"
PlayDapp,$0.3147,+0.57%,"$153,644,742"
SushiSwap,$1.21,-6.28%,"$153,740,639"
Secret,$0.9332,+1.52%,"$152,387,911"
Voyager Token,$0.5468,+1.45%,"$152,265,808"
DigiByte,$0.009591,+1.22%,"$150,567,007"
APENFT,$0.0000005381,-2.19%,"$149,096,194"
Injective,$1.94,-6.26%,"$141,713,483"
COTI,$0.1263,-1.92%,"$139,975,487"
Dogelon Mars,$0.0000002532,-0.35%,"$138,676,501"
Pundi X (New),$0.5101,-5.38%,"$131,850,432"
Ren,$0.1302,-3.62%,"$130,109,240"
DAO Maker,$1.41,+2.55%,"$129,676,426"
Civic,$0.1281,+0.19%,"$128,147,031"
Velas,$0.05374,+3.24%,"$126,782,136"
Nervos Network,$0.003778,+1.74%,"$125,943,892"
Render Token,$0.4941,+3.06%,"$125,399,992"
Lisk,$0.9683,-0.34%,"$124,813,618"
Keep Network,$0.1433,+0.07%,"$123,346,258"
MediBloc,$0.01945,+0.29%,"$121,048,916"
Energy Web Token,$3.95,-1.11%,"$118,694,815"
CEEK VR,$0.1461,+4.03%,"$117,688,796"
Bitcoin Standard Hashrate Token,$9.50,-7.33%,"$115,957,995"
ConstitutionDAO,$0.02233,+1.10%,"$112,988,743"
Syscoin,$0.1698,-0.19%,"$112,412,653"
Celer Network,$0.01558,+0.87%,"$110,382,149"
Constellation,$0.08504,+0.11%,"$107,741,315"
Nano,$0.8068,-1.16%,"$107,509,299"
NuCypher,$0.1523,+0.62%,"$107,075,854"
Request,$0.1055,+0.66%,"$105,454,477"
Ontology Gas,$0.3284,-0.26%,"$105,256,999"
Spell Token,$0.001013,+0.47%,"$103,909,756"
Ultra,$0.34,+1.43%,"$103,282,534"
iExec RLC,$1.27,+1.84%,"$102,497,059"
Orbs,$0.03533,+0.40%,"$101,634,366"
Vulcan Forged PYR,$4.23,-3.74%,"$101,045,171"
WINkLink,$0.0001038,-2.30%,"$99,864,369"
Numeraire,$16.91,-15.79%,"$99,588,813"
Tribe,$0.2186,-0.93%,"$99,131,812"
Function X,$0.2427,-0.93%,"$99,150,936"
Status,$0.02849,-0.52%,"$98,875,931"
Acala Token,$0.1856,+3.41%,"$98,260,135"
Ardor,$0.09755,-0.50%,"$97,450,791"
API3,$1.71,+1.31%,"$96,510,193"
Reef,$0.004783,+1.46%,"$96,570,738"
Ocean Protocol,$0.1554,+0.92%,"$95,260,087"
Powerledger,$0.1951,+0.38%,"$94,697,397"
Prom,$5.74,-0.88%,"$94,390,639"
Dent,$0.0009337,+0.80%,"$92,443,078"
MX TOKEN,$0.9214,+0.32%,"$92,141,687"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,221.52",-0.55%,"$387,652,665,212"
Ethereum,"$1,356.22",-0.37%,"$166,362,268,449"
Tether,$1.00,-0.00%,"$68,071,831,513"
BNB,$294.06,+0.66%,"$47,442,859,709"
USD Coin,$1.00,-0.00%,"$46,514,543,413"
XRP,$0.4945,-2.72%,"$24,654,617,060"
Binance USD,$0.9999,+0.04%,"$21,039,839,846"
Cardano,$0.4322,+0.39%,"$14,805,807,314"
Solana,$34.22,-0.67%,"$12,154,105,491"
Dogecoin,$0.06517,-1.08%,"$8,645,737,245"
Polygon,$0.8492,-1.75%,"$7,417,363,421"
Polkadot,$6.40,+0.94%,"$7,186,880,620"
Dai,$0.9999,-0.00%,"$6,815,051,020"
Shiba Inu,$0.00001143,-0.17%,"$6,275,432,314"
TRON,$0.06249,-0.52%,"$5,770,105,576"
Uniswap,$6.77,-1.12%,"$5,162,364,517"
Avalanche,$17.30,+0.36%,"$5,123,631,579"
Wrapped Bitcoin,"$20,240.68",-0.83%,"$4,956,060,596"
UNUS SED LEO,$4.23,-1.40%,"$4,034,165,982"
Litecoin,$54.81,-0.09%,"$3,909,110,814"
Chainlink,$7.91,-2.26%,"$3,887,643,378"
Ethereum Classic,$27.61,+0.43%,"$3,788,695,089"
Cosmos,$12.94,+0.69%,"$3,705,240,340"
FTX Token,$24.87,+0.43%,"$3,331,527,385"
Stellar,$0.1194,+0.96%,"$3,044,448,056"
NEAR Protocol,$3.70,-2.86%,"$2,964,871,553"
Cronos,$0.1103,+0.50%,"$2,786,512,674"
Monero,$147.05,-0.85%,"$2,673,897,331"
Algorand,$0.3524,+0.98%,"$2,472,336,048"
Bitcoin Cash,$122.87,-1.03%,"$2,358,273,988"
Terra Classic,$0.0002992,+4.16%,"$1,840,569,747"
Flow,$1.69,+1.02%,"$1,751,857,448"
Toncoin,$1.42,-1.05%,"$1,733,539,527"
VeChain,$0.02385,+0.69%,"$1,729,694,701"
Quant,$137.69,+2.60%,"$1,662,305,119"
Filecoin,$5.60,-0.33%,"$1,646,918,570"
ApeCoin,$5.21,+1.05%,"$1,599,987,312"
Internet Computer,$6.03,+1.50%,"$1,582,023,535"
Hedera,$0.05801,+0.47%,"$1,332,372,136"
Decentraland,$0.7069,-0.85%,"$1,311,293,489"
Tezos,$1.43,+1.64%,"$1,303,839,927"
Chiliz,$0.2164,+0.86%,"$1,298,639,971"
The Sandbox,$0.8662,-2.14%,"$1,298,775,846"
Elrond,$54.79,+2.44%,"$1,288,698,349"
EOS,$1.18,+1.89%,"$1,179,637,978"
Aave,$78.33,+0.27%,"$1,103,881,059"
Theta Network,$1.08,-0.60%,"$1,081,617,497"
Axie Infinity,$12.82,+0.43%,"$1,064,800,138"
Bitcoin SV,$49.47,-1.20%,"$949,283,443"
Pax Dollar,$0.9994,+0.19%,"$945,115,296"
OKB,$15.60,+0.68%,"$935,719,619"
KuCoin Token,$9.12,+0.58%,"$897,415,775"
TrueUSD,$1.00,+0.01%,"$891,197,219"
Zcash,$56.88,-0.31%,"$876,732,348"
Maker,$836.92,+1.80%,"$818,194,579"
eCash,$0.00004231,-0.82%,"$811,908,836"
USDD,$0.9999,-0.04%,"$786,667,357"
IOTA,$0.2749,+2.12%,"$764,107,388"
BitTorrent-New,$0.0000007935,-0.70%,"$748,028,334"
Helium,$5.68,-8.66%,"$725,524,429"
The Graph,$0.09965,+0.68%,"$687,602,770"
Neutrino USD,$0.9735,-0.02%,"$662,272,974"
PancakeSwap,$4.70,+1.68%,"$655,543,403"
Huobi Token,$4.11,-0.63%,"$629,844,423"
Neo,$8.72,+2.34%,"$614,838,873"
Klaytn,$0.1894,+0.48%,"$579,154,951"
Fantom,$0.2263,+0.52%,"$575,854,820"
PAX Gold,"$1,709.17",+0.48%,"$555,839,509"
Synthetix,$2.32,+0.71%,"$553,021,698"
THORChain,$1.65,-0.80%,"$546,331,219"
Nexo,$0.8943,+0.46%,"$500,815,811"
Curve DAO Token,$0.9032,+0.48%,"$480,099,941"
GateToken,$4.43,-1.20%,"$479,174,683"
Lido DAO,$1.53,+2.38%,"$478,388,618"
Dash,$42.08,+0.11%,"$460,575,885"
Basic Attention Token,$0.3047,+1.02%,"$455,767,019"
Enjin Coin,$0.453,+0.86%,"$453,021,869"
Stacks,$0.3264,+0.35%,"$436,493,779"
Kava,$1.55,-0.31%,"$435,963,760"
Compound,$59.31,+1.08%,"$431,007,446"
Fei USD,$0.9961,-0.86%,"$423,329,302"
Zilliqa,$0.03153,+0.97%,"$421,666,295"
Waves,$3.82,+0.66%,"$418,189,717"
Mina,$0.5926,+0.17%,"$413,526,442"
Ravencoin,$0.03455,+2.84%,"$405,645,708"
Trust Wallet Token,$0.9485,-3.97%,"$395,209,526"
Reserve Rights,$0.009327,-0.29%,"$394,567,935"
Loopring,$0.2949,+1.20%,"$392,232,551"
Decred,$26.58,-0.43%,"$382,826,411"
Convex Finance,$5.60,-4.82%,"$379,132,522"
NEM,$0.04165,-0.95%,"$374,878,494"
XDC Network,$0.03048,+2.89%,"$375,017,533"
STEPN,$0.6244,+0.31%,"$374,623,231"
Kusama,$43.08,+1.23%,"$364,892,273"
Celo,$0.778,+0.97%,"$364,019,634"
Bitcoin Gold,$20.49,+0.93%,"$358,822,950"
Holo,$0.002028,-0.06%,"$351,486,432"
Ethereum Name Service,$17.32,-7.74%,"$350,581,025"
1inch Network,$0.5831,+0.34%,"$340,466,459"
Terra,$2.54,-0.62%,"$323,954,464"
Celsius,$1.35,+0.92%,"$323,516,738"
BinaryX,$157.09,-1.12%,"$317,771,295"
Arweave,$9.51,+1.19%,"$317,518,695"
yearn.finance,"$8,314.79",-0.53%,"$304,634,989"
Oasis Network,$0.06049,+1.12%,"$304,121,824"
Qtum,$2.88,+0.56%,"$300,444,407"
Gemini Dollar,$0.9956,+0.37%,"$300,157,005"
Ankr,$0.031,-0.63%,"$299,519,179"
Gnosis,$115.92,+4.33%,"$299,016,814"
TerraClassicUSD,$0.03034,+3.94%,"$297,809,899"
Gala,$0.04115,+0.37%,"$287,102,769"
Kadena,$1.41,-0.23%,"$278,813,202"
Theta Fuel,$0.0523,+0.09%,"$277,252,078"
IoTeX,$0.02834,+0.70%,"$270,373,616"
Braintrust,$2.18,+2.69%,"$266,332,929"
Golem,$0.2643,+0.07%,"$264,273,805"
Harmony,$0.01972,+1.37%,"$249,594,665"
OMG Network,$1.72,+1.10%,"$240,692,266"
Polymath,$0.2514,+2.71%,"$232,567,176"
Flux,$0.824,+3.39%,"$228,980,802"
Livepeer,$9.21,+3.52%,"$228,211,157"
0x,$0.2687,+0.57%,"$227,750,416"
Balancer,$5.19,+0.47%,"$227,323,124"
Hive,$0.5055,-0.85%,"$225,041,949"
JUST,$0.0253,+1.12%,"$225,227,497"
IOST,$0.01188,+0.97%,"$220,778,375"
BORA,$0.2376,+0.41%,"$220,405,976"
ICON,$0.2387,+0.63%,"$219,485,055"
Amp,$0.005118,-0.85%,"$216,122,282"
Symbol,$0.03732,+2.16%,"$208,332,825"
Serum,$0.786,+0.24%,"$206,920,129"
Kyber Network Crystal v2,$1.15,+0.32%,"$204,680,758"
Optimism,$0.8591,+1.37%,"$201,667,014"
Ontology,$0.2263,+0.62%,"$198,093,916"
SwissBorg,$0.1957,-3.26%,"$195,706,787"
WAX,$0.08562,+1.40%,"$187,431,725"
Storj,$0.4539,+0.58%,"$187,432,775"
Moonbeam,$0.4699,-0.32%,"$186,967,594"
Immutable X,$0.7937,-0.29%,"$186,733,712"
Chia,$34.69,-1.72%,"$183,150,623"
Siacoin,$0.003499,+0.59%,"$182,725,978"
Casper,$0.02994,+1.06%,"$182,691,738"
MXC,$0.06833,-0.02%,"$180,542,375"
Horizen,$13.98,+3.33%,"$180,314,396"
SXP,$0.358,+0.66%,"$178,913,036"
Audius,$0.2144,+2.74%,"$178,138,962"
WOO Network,$0.1402,+2.62%,"$161,796,648"
ABBC Coin,$0.158,+0.91%,"$161,213,183"
UMA,$2.33,-0.85%,"$160,649,398"
Smooth Love Potion,$0.003717,-12.39%,"$159,588,241"
SKALE Network,$0.03903,+1.03%,"$155,659,617"
PlayDapp,$0.3147,+0.61%,"$153,655,829"
SushiSwap,$1.20,-5.17%,"$153,069,138"
Secret,$0.9327,+1.76%,"$152,302,158"
Voyager Token,$0.5463,+1.54%,"$152,125,070"
DigiByte,$0.009573,+1.45%,"$150,287,573"
APENFT,$0.0000005384,-2.14%,"$149,190,803"
Injective,$1.95,-6.71%,"$142,091,888"
COTI,$0.1263,-2.08%,"$140,012,085"
Dogelon Mars,$0.0000002531,-0.12%,"$138,587,084"
Pundi X (New),$0.5094,-5.13%,"$131,669,462"
Ren,$0.1303,-3.53%,"$130,131,063"
DAO Maker,$1.41,+2.65%,"$129,504,221"
Civic,$0.1282,+0.27%,"$128,169,728"
Velas,$0.05379,+3.47%,"$126,894,694"
Nervos Network,$0.003777,+1.52%,"$125,934,062"
Render Token,$0.4937,+3.85%,"$125,302,735"
Lisk,$0.9679,-0.14%,"$124,760,434"
Keep Network,$0.143,+0.43%,"$123,120,953"
MediBloc,$0.01945,+0.31%,"$121,044,714"
Energy Web Token,$3.96,-1.39%,"$118,941,184"
CEEK VR,$0.1461,+3.77%,"$117,697,252"
Bitcoin Standard Hashrate Token,$9.42,-6.17%,"$114,944,194"
ConstitutionDAO,$0.02229,+1.37%,"$112,802,141"
Syscoin,$0.1699,-0.21%,"$112,500,406"
Celer Network,$0.01558,+0.94%,"$110,390,908"
Constellation,$0.08496,+1.07%,"$107,640,083"
Nano,$0.8069,-1.13%,"$107,520,312"
NuCypher,$0.1524,+0.53%,"$107,131,056"
Request,$0.1054,+0.77%,"$105,410,266"
Ontology Gas,$0.3283,-0.23%,"$105,211,698"
Spell Token,$0.001013,+0.54%,"$103,913,188"
Ultra,$0.34,+1.66%,"$103,301,884"
iExec RLC,$1.26,+1.90%,"$102,304,844"
Orbs,$0.03531,+0.40%,"$101,578,721"
Vulcan Forged PYR,$4.21,-3.19%,"$100,544,385"
Numeraire,$17.07,-16.84%,"$100,515,010"
WINkLink,$0.0001037,-2.15%,"$99,776,163"
Function X,$0.2429,-0.93%,"$99,215,713"
Tribe,$0.2185,-0.84%,"$99,091,084"
Status,$0.02845,-0.23%,"$98,723,992"
Acala Token,$0.1855,+3.52%,"$98,180,928"
Ardor,$0.09744,-0.28%,"$97,338,987"
API3,$1.71,+1.26%,"$96,554,007"
Reef,$0.004776,+1.80%,"$96,433,527"
Ocean Protocol,$0.1555,+0.88%,"$95,327,873"
Powerledger,$0.1952,+0.47%,"$94,734,211"
Prom,$5.72,-0.42%,"$94,031,523"
Dent,$0.000934,+0.85%,"$92,474,949"
MX TOKEN,$0.9214,+0.27%,"$92,141,569"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,221.52",-0.55%,"$387,652,665,212"
Ethereum,"$1,356.22",-0.37%,"$166,362,268,449"
Tether,$1.00,+0.00%,"$68,070,586,389"
BNB,$294.08,+0.66%,"$47,445,940,611"
USD Coin,$1.00,-0.00%,"$46,514,543,413"
XRP,$0.4945,-2.72%,"$24,654,617,060"
Binance USD,$0.9999,+0.04%,"$21,039,839,846"
Cardano,$0.4322,+0.46%,"$14,806,676,470"
Solana,$34.22,-0.67%,"$12,154,105,491"
Dogecoin,$0.06514,-1.04%,"$8,642,336,752"
Polygon,$0.8492,-1.75%,"$7,417,363,421"
Polkadot,$6.40,+1.03%,"$7,186,640,312"
Dai,$0.9999,-0.00%,"$6,815,051,020"
Shiba Inu,$0.00001143,-0.17%,"$6,275,432,314"
TRON,$0.06249,-0.52%,"$5,770,105,576"
Uniswap,$6.78,-1.16%,"$5,164,978,215"
Avalanche,$17.30,+0.36%,"$5,123,631,579"
Wrapped Bitcoin,"$20,240.68",-0.83%,"$4,956,060,596"
UNUS SED LEO,$4.23,-1.40%,"$4,034,165,982"
Litecoin,$54.81,-0.09%,"$3,909,110,814"
Chainlink,$7.91,-2.26%,"$3,887,643,378"
Ethereum Classic,$27.61,+0.43%,"$3,788,695,089"
Cosmos,$12.94,+0.69%,"$3,705,240,340"
FTX Token,$24.87,+0.43%,"$3,331,527,385"
Stellar,$0.1194,+0.96%,"$3,044,448,056"
NEAR Protocol,$3.70,-2.93%,"$2,966,140,953"
Cronos,$0.1101,+0.67%,"$2,782,188,005"
Monero,$147.05,-0.85%,"$2,673,897,331"
Algorand,$0.3524,+0.98%,"$2,472,336,048"
Bitcoin Cash,$122.87,-1.03%,"$2,358,273,988"
Terra Classic,$0.0002992,+4.16%,"$1,840,569,747"
Flow,$1.69,+0.85%,"$1,754,165,568"
Toncoin,$1.42,-1.05%,"$1,733,539,527"
VeChain,$0.02385,+0.69%,"$1,729,694,701"
Quant,$137.50,+2.57%,"$1,660,015,342"
Filecoin,$5.60,-0.33%,"$1,646,918,570"
ApeCoin,$5.21,+1.13%,"$1,598,515,359"
Internet Computer,$6.03,+1.50%,"$1,582,023,535"
Hedera,$0.05801,+0.47%,"$1,332,372,136"
Decentraland,$0.7069,-0.85%,"$1,311,293,489"
Tezos,$1.43,+1.64%,"$1,303,839,927"
Chiliz,$0.2164,+0.86%,"$1,298,639,971"
The Sandbox,$0.8662,-2.14%,"$1,298,775,846"
Elrond,$54.79,+2.44%,"$1,288,698,349"
EOS,$1.18,+1.89%,"$1,179,637,978"
Aave,$78.33,+0.27%,"$1,103,881,059"
Theta Network,$1.08,-0.60%,"$1,081,617,497"
Axie Infinity,$12.82,+0.46%,"$1,064,909,448"
Bitcoin SV,$49.46,-1.12%,"$949,137,957"
Pax Dollar,$0.9994,+0.19%,"$945,115,296"
OKB,$15.60,+0.68%,"$935,719,619"
KuCoin Token,$9.12,+0.58%,"$897,415,775"
TrueUSD,$1.00,+0.01%,"$891,197,219"
Zcash,$56.88,-0.31%,"$876,732,348"
Maker,$836.92,+1.80%,"$818,194,579"
eCash,$0.00004233,-0.85%,"$812,303,257"
USDD,$0.9999,-0.04%,"$786,667,357"
IOTA,$0.2749,+2.12%,"$764,107,388"
BitTorrent-New,$0.0000007935,-0.70%,"$748,028,334"
Helium,$5.68,-8.66%,"$725,524,429"
The Graph,$0.09965,+0.71%,"$687,611,193"
Neutrino USD,$0.9735,-0.02%,"$662,272,974"
PancakeSwap,$4.70,+1.59%,"$655,741,328"
Huobi Token,$4.11,-0.49%,"$629,604,354"
Neo,$8.72,+2.34%,"$614,838,873"
Klaytn,$0.1894,+0.48%,"$579,154,951"
Fantom,$0.2262,+0.61%,"$575,703,714"
PAX Gold,"$1,709.17",+0.48%,"$555,839,509"
Synthetix,$2.32,+0.72%,"$553,066,968"
THORChain,$1.65,-0.80%,"$546,331,219"
Nexo,$0.8943,+0.46%,"$500,815,811"
Curve DAO Token,$0.9032,+0.48%,"$480,099,941"
GateToken,$4.43,-1.20%,"$479,174,683"
Lido DAO,$1.53,+2.56%,"$478,104,306"
Dash,$42.08,+0.11%,"$460,575,885"
Basic Attention Token,$0.3048,+0.99%,"$455,886,641"
Enjin Coin,$0.453,+0.86%,"$453,021,869"
Stacks,$0.3264,+0.35%,"$436,493,779"
Kava,$1.55,-0.31%,"$435,963,760"
Compound,$59.31,+1.08%,"$431,007,446"
Fei USD,$0.9961,-0.86%,"$423,329,302"
Zilliqa,$0.03153,+0.97%,"$421,666,295"
Waves,$3.82,+0.66%,"$418,189,717"
Mina,$0.5926,+0.17%,"$413,526,442"
Ravencoin,$0.03454,+2.85%,"$405,482,068"
Reserve Rights,$0.009327,-0.29%,"$394,567,935"
Trust Wallet Token,$0.9485,-3.97%,"$395,209,526"
Loopring,$0.2949,+1.20%,"$392,232,551"
Decred,$26.58,-0.43%,"$382,826,411"
Convex Finance,$5.60,-4.82%,"$379,132,522"
NEM,$0.04167,-0.93%,"$375,028,087"
XDC Network,$0.03048,+2.89%,"$375,017,533"
STEPN,$0.6244,+0.31%,"$374,623,231"
Kusama,$43.08,+1.23%,"$364,892,273"
Celo,$0.778,+0.97%,"$364,019,634"
Bitcoin Gold,$20.49,+0.93%,"$358,822,950"
Holo,$0.002028,-0.13%,"$351,620,649"
Ethereum Name Service,$17.32,-7.74%,"$350,581,025"
1inch Network,$0.5831,+0.34%,"$340,466,459"
Terra,$2.54,-0.07%,"$324,168,923"
Celsius,$1.35,+0.92%,"$323,516,738"
BinaryX,$157.09,-1.12%,"$317,771,295"
Arweave,$9.51,+1.19%,"$317,518,695"
yearn.finance,"$8,314.79",-0.53%,"$304,634,989"
Oasis Network,$0.06049,+1.12%,"$304,121,824"
Qtum,$2.88,+0.56%,"$300,444,407"
Gemini Dollar,$0.9956,+0.37%,"$300,157,005"
Ankr,$0.031,-0.63%,"$299,519,179"
Gnosis,$115.92,+4.33%,"$299,016,814"
TerraClassicUSD,$0.03034,+3.94%,"$297,809,899"
Gala,$0.04115,+0.37%,"$287,102,769"
Kadena,$1.41,-0.23%,"$278,813,202"
Theta Fuel,$0.0523,+0.09%,"$277,252,078"
IoTeX,$0.02834,+0.70%,"$270,373,616"
Braintrust,$2.18,+2.62%,"$266,420,283"
Golem,$0.2643,+0.07%,"$264,273,805"
Harmony,$0.01973,+1.35%,"$249,626,147"
OMG Network,$1.72,+1.10%,"$240,692,266"
Polymath,$0.2514,+2.71%,"$232,567,176"
Flux,$0.824,+3.39%,"$228,980,802"
Livepeer,$9.21,+3.52%,"$228,211,157"
0x,$0.2687,+0.57%,"$227,750,416"
Balancer,$5.19,+0.47%,"$227,323,124"
JUST,$0.0253,+1.12%,"$225,227,497"
Hive,$0.5055,-0.85%,"$225,041,949"
IOST,$0.01188,+0.89%,"$220,891,293"
BORA,$0.2376,+0.41%,"$220,405,976"
ICON,$0.2387,+0.63%,"$219,485,055"
Amp,$0.005117,-0.71%,"$216,083,115"
Symbol,$0.03732,+2.16%,"$208,332,825"
Serum,$0.786,+0.24%,"$206,920,129"
Kyber Network Crystal v2,$1.15,+0.32%,"$204,680,758"
Optimism,$0.8591,+1.37%,"$201,667,014"
Ontology,$0.2263,+0.62%,"$198,093,916"
SwissBorg,$0.1958,-3.76%,"$195,798,787"
Storj,$0.4539,+0.58%,"$187,432,775"
WAX,$0.08562,+1.40%,"$187,431,725"
Immutable X,$0.7937,-0.29%,"$186,733,712"
Moonbeam,$0.4695,-0.31%,"$186,824,013"
Chia,$34.69,-1.72%,"$183,150,623"
Siacoin,$0.003499,+0.59%,"$182,725,978"
Casper,$0.02997,+0.90%,"$182,867,334"
MXC,$0.06833,-0.02%,"$180,542,375"
Horizen,$13.98,+3.33%,"$180,314,396"
SXP,$0.358,+0.66%,"$178,913,036"
Audius,$0.2145,+2.65%,"$178,212,166"
WOO Network,$0.1402,+2.62%,"$161,796,648"
ABBC Coin,$0.158,+0.91%,"$161,213,183"
UMA,$2.33,-0.85%,"$160,649,398"
Smooth Love Potion,$0.003717,-12.39%,"$159,588,241"
SKALE Network,$0.03903,+1.03%,"$155,659,617"
PlayDapp,$0.3147,+0.61%,"$153,655,829"
SushiSwap,$1.20,-5.17%,"$153,069,138"
Secret,$0.9327,+1.76%,"$152,302,158"
Voyager Token,$0.5463,+1.54%,"$152,125,070"
DigiByte,$0.009573,+1.45%,"$150,287,573"
APENFT,$0.0000005384,-2.14%,"$149,190,803"
Injective,$1.95,-6.71%,"$142,091,888"
COTI,$0.1263,-2.08%,"$140,012,085"
Dogelon Mars,$0.0000002531,-0.12%,"$138,587,084"
Pundi X (New),$0.5094,-5.13%,"$131,669,462"
Ren,$0.1303,-3.53%,"$130,131,063"
DAO Maker,$1.41,+2.65%,"$129,504,221"
Civic,$0.1282,+0.27%,"$128,169,728"
Velas,$0.05379,+3.47%,"$126,894,694"
Nervos Network,$0.003777,+1.52%,"$125,934,062"
Render Token,$0.4934,+3.19%,"$125,220,687"
Lisk,$0.9679,-0.14%,"$124,760,434"
Keep Network,$0.143,+0.43%,"$123,120,953"
MediBloc,$0.01945,+0.31%,"$121,044,714"
Energy Web Token,$3.96,-1.39%,"$118,941,184"
CEEK VR,$0.1461,+3.77%,"$117,697,252"
Bitcoin Standard Hashrate Token,$9.42,-6.17%,"$114,944,194"
ConstitutionDAO,$0.02229,+1.37%,"$112,802,141"
Syscoin,$0.1699,-0.21%,"$112,500,406"
Celer Network,$0.01558,+0.94%,"$110,390,908"
Constellation,$0.08496,+1.07%,"$107,640,083"
NuCypher,$0.1525,+0.47%,"$107,196,766"
Nano,$0.8054,-0.91%,"$107,316,728"
Request,$0.1054,+0.77%,"$105,410,266"
Ontology Gas,$0.3283,-0.23%,"$105,211,698"
Spell Token,$0.001013,+0.54%,"$103,913,188"
Ultra,$0.34,+1.66%,"$103,301,884"
iExec RLC,$1.26,+1.90%,"$102,304,844"
Orbs,$0.03531,+0.40%,"$101,578,721"
Numeraire,$17.07,-16.84%,"$100,515,010"
Vulcan Forged PYR,$4.21,-3.19%,"$100,544,385"
WINkLink,$0.0001037,-2.15%,"$99,776,163"
Function X,$0.2429,-0.93%,"$99,215,713"
Tribe,$0.2185,-0.84%,"$99,091,084"
Status,$0.02845,-0.23%,"$98,723,992"
Acala Token,$0.1856,+3.46%,"$98,249,827"
Ardor,$0.09744,-0.28%,"$97,338,987"
API3,$1.71,+1.26%,"$96,554,007"
Reef,$0.00478,+1.73%,"$96,507,348"
Ocean Protocol,$0.1555,+0.88%,"$95,327,873"
Powerledger,$0.1952,+0.47%,"$94,734,211"
Prom,$5.72,-0.42%,"$94,031,523"
Dent,$0.000934,+0.82%,"$92,471,969"
MX TOKEN,$0.9214,+0.27%,"$92,141,569"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,216.21",-0.53%,"$387,551,000,470"
Ethereum,"$1,355.90",-0.39%,"$166,323,537,676"
Tether,$1.00,+0.00%,"$68,070,586,389"
BNB,$294.07,+0.66%,"$47,444,094,125"
USD Coin,$1,+0.00%,"$46,509,814,524"
XRP,$0.4953,-2.88%,"$24,693,354,000"
Binance USD,$0.9995,+0.05%,"$21,032,412,385"
Cardano,$0.4322,+0.46%,"$14,806,676,470"
Solana,$34.20,-0.62%,"$12,149,022,300"
Dogecoin,$0.06514,-1.04%,"$8,642,336,752"
Polygon,$0.8496,-1.85%,"$7,420,947,163"
Polkadot,$6.40,+1.08%,"$7,186,259,982"
Dai,$1.00,-0.02%,"$6,816,126,788"
Shiba Inu,$0.00001142,+0.01%,"$6,270,453,254"
TRON,$0.06249,-0.53%,"$5,770,411,463"
Uniswap,$6.78,-1.16%,"$5,164,978,215"
Avalanche,$17.31,+0.28%,"$5,126,075,482"
Wrapped Bitcoin,"$20,224.13",-0.62%,"$4,952,010,109"
UNUS SED LEO,$4.23,-1.67%,"$4,034,028,329"
Litecoin,$54.81,-0.11%,"$3,908,798,625"
Chainlink,$7.91,-2.37%,"$3,888,777,018"
Ethereum Classic,$27.62,+0.35%,"$3,789,504,056"
Cosmos,$12.94,+0.62%,"$3,705,284,302"
FTX Token,$24.84,+0.50%,"$3,328,500,563"
Stellar,$0.1194,+0.77%,"$3,045,205,188"
NEAR Protocol,$3.70,-2.93%,"$2,966,140,953"
Cronos,$0.1101,+0.67%,"$2,782,188,005"
Monero,$147.05,-0.85%,"$2,673,897,331"
Algorand,$0.3528,+0.92%,"$2,474,640,902"
Bitcoin Cash,$122.78,-0.89%,"$2,356,439,466"
Terra Classic,$0.0002994,+3.45%,"$1,841,712,205"
Flow,$1.69,+0.85%,"$1,754,165,568"
Toncoin,$1.42,-1.04%,"$1,734,562,657"
VeChain,$0.02384,+0.75%,"$1,728,428,000"
Quant,$137.50,+2.57%,"$1,660,015,342"
Filecoin,$5.60,-0.33%,"$1,646,563,031"
ApeCoin,$5.21,+0.97%,"$1,599,001,593"
Internet Computer,$6.03,+1.40%,"$1,582,926,461"
Hedera,$0.05801,+0.42%,"$1,332,435,353"
Decentraland,$0.7069,-0.85%,"$1,311,287,445"
Tezos,$1.43,+1.62%,"$1,303,729,937"
Chiliz,$0.2167,+0.70%,"$1,300,109,109"
The Sandbox,$0.8658,-2.03%,"$1,298,190,153"
Elrond,$54.76,+2.42%,"$1,287,906,514"
EOS,$1.18,+1.85%,"$1,179,685,064"
Aave,$78.38,+0.19%,"$1,104,612,637"
Theta Network,$1.08,-0.66%,"$1,082,427,208"
Axie Infinity,$12.80,+0.72%,"$1,063,130,120"
Bitcoin SV,$49.46,-1.12%,"$949,137,957"
Pax Dollar,$0.9993,+0.21%,"$944,994,227"
OKB,$15.59,+0.63%,"$935,676,184"
KuCoin Token,$9.12,+0.57%,"$897,186,321"
TrueUSD,$1.00,+0.01%,"$891,197,219"
Zcash,$56.83,-0.20%,"$875,994,459"
Maker,$837.31,+1.61%,"$818,575,643"
