Категория,Анализ,Биоматериал,Описание,Стоимость,Готовность дней 
Другие,Исследование биологического материала по Осипову,Кровь,"Исследование предназначено для диагностики дисбиозов различных локализаций по специфическим микробным химическим веществам (маркерам - жирным кислотам), которые содержатся в клеточных стенках микроорганизмов или производятся ими в процессе жизнедеятельности.",4990,7
Другие,Исследование кала на простейшие и яйца гельминтов методом обогащения (PARASEP),Кал,"Исследование направлено на выявление паразитов, обитающих в желудочно-кишечном тракте человека. Данное исследование позволяет выявить яйца гельминтов, цисты и ооцисты простейших. 

Для окончательной верификации диагноза проводится трехкратное исследование кала, с интервалами до нескольких дней.",890,1
Другие,Исследование кариотипа (кариотипирование),Кровь с гепарином,"Кариотипирование – цитогенетический метод исследования хромосомного набора человека, позволяющий выявить его структурные и численные отклонения. С помощью этого исследования можно диагностировать сбалансированные отклонения в структуре хромосом, которые проявляются в репродуктивном возрасте.",7590,14
Другие,Исследование соскоба на энтеробиоз,Соскоб,"Соскоб на энтеробиоз - это стандартный тест для диагностики инвазии острицами. Энтеробиоз - заболевание, встречающееся только у людей и вызываемое острицами (Enterobius fermicularis). Наиболее характерные признаки инвазии - ночной зуд в области заднего прохода и признаки дискомфорта желудочно- кишечного тракта. Этот тест не заменяет анализа кала на яйца глист, так как оба этих лабораторных анализа предназначены для выявления разных видов гельминтов.
Для взрослых исключительно самозабор (специальные наборы можно приобрести в аптеке - липкий шпатель и контейнер). Для детей возможен выезд медсестры. Соскоб лучше всего производить в утреннее время.",590,1
Другие,Йод в моче,Моча,"Исследование йода в моче используетося для оценки дефицита (приводит как к нарушениям репродукции, так и к заболеваниям щитовидной железы) или избытка (в результате длительного приема больших доз препаратов йода) йода в организме.",990,5
Другие,"Кадмий в волосах, спектрометрия",Волосы,"Исследование концентрации кадмия в волосах для диагностики отравлений его соединениями. Кадмий – мягкий, пластичный металл с серебристо-белым и синеватым оттенком. Он не имеет ни запаха, ни вкуса, является крайне ядовитым. Имеет несколько изотопов, образует множество соединений, используется в автомобилестроении (в процессе гальванизации), в производстве красок и других пигментов, в составе стабилизаторов поливинилхлоридных пластмасс, а также в элементах электрического питания (никель-кадмиевые батареи).",890,5
Другие,"Калий в волосах, спектрометрия",Волосы,"Определение концентрации калия в образце волоса, используемое для оценки нутриентного статуса организма. Калий – это основной внутриклеточный катион, необходимый для осуществления разнообразных физиологических процессов. Вместе с ионами натрия, бикарбоната и хлора он обеспечивает постоянство водно-электролитного состава и кислотно-основное равновесие. Он необходим для нормальной работы возбудимых тканей, таких как мышечная и нервная. 98 % калия в организме находится внутри клеток, и лишь менее 2 % – во внеклеточной жидкости, в том числе в крови.",890,5
Другие,"Кальций в волосах, спектрометрия",Волосы,"Определение концентрации кальция в образце волоса, используемое для оценки нутриентного статуса организма, особенно при диагностике остеопороза, аутизма, фибромиалгии и некоторых других заболеваний. Кальций – макроэлемент, выполняющий разнообразные функции в организме человека. Этот минерал необходим для поддержания целостности мембран клеток, формирования костной ткани, передачи нервного импульса, секреции гормонов, сокращения мышечной ткани, процесса свертывания крови и некоторых других физиологических процессов.",890,5
Другие,"Карбамазепин, количественно",Сыворотка,"Карбамазепин – противоэпилептический и психотропный препарат, концентрация которого в крови требует регулярного контроля и поддержания в пределах терапевтической дозы в целях достижения лечебного эффекта и предупреждения побочных явлений.",1990,3
Другие,Карбоксигемоглобин,Кровь,"Карбоксигемоглобин образуется при действии на организм угарного газа (CO), а также при отравлении карбонилами металлов: никеля и железа. Постоянно находится в крови в небольшом количестве, но его концентрация может колебаться в зависимости от условий и образа жизни. 
Для чего определяют уровень карбоксигемоглобина в крови? 
- Подозрения на отравление угарным газом (головная боль, головокружение, боли в груди, шум в ушах, удушье, кашель, тошнота, рвота, повышение АД, галлюцинации, двигательный паралич, потеря сознания). 
- Мониторинг лечения отравления угарным газом.",690,3
Другие,Кариотип с аберрациями,Кровь с гепарином,"Анализ кариотипа с абберациями — исследование количества хромосом и их структуры в большинстве клеток организма. Является расширенным вариантом кариотипирования. В ходе исследования могут быть выявлены изменения генома, которые возникли вследствие влияния факторов внешней среды: излучения, радиации.",7790,14
Другие,Катехоламины (адреналин; норадреналин; дофамин; серотонин),Сыворотка,"Адреналин, норадреналин, дофамин, серотонин – это биогенные амины, являющиеся гормонами и нейромедиаторами. Их содержание значительно увеличивается в биологических жидкостях при некоторых нейроэндокринных новообразованиях. В исследовании определяется количество каждого показателя в отдельности.",1890,3
Другие,Клещ домашней пыли Dermatophagoides pteronyssinus IgE (ImmunoCAP),Кровь,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к Клещу домашней пыли Dermatophagoides pteronyssinus.",890,3
Другие,Клещ домашней пыли Euroglyphus maynei IgE (ImmunoCAP),Кровь,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к Клещу домашней пыли Euroglyphus maynei.",890,3
Другие,Клинический анализ крови без лейкоцитарной формулы,Кровь с EDTA,"Анализ крови без лейкоцитарной формулы включает в себя подсчет всех видов клеток крови (эритроцитов, лейкоцитов, тромбоцитов) без разделения лейкоцитов по видам; определение уровня гемоглобина, гематокрита (соотношения клеточной массы к плазме), определение эритроцитарных индексов (MCV, MCH, MCHC).",290,1
Другие,"Кобальт в волосах, спектрометрия",Волосы,"Определение концентрации кобальта в волосах, которое может быть использовано для диагностики дефицита или интоксикации эти металлом. Кобальт – это один из эссенциальных микроэлементов, выполняющий функцию кофактора ферментов кобаламинов, в том числе цианокобаламина (витамина B12). Главный источник поступления кобальта в организм человека – пища. Рацион обычного человека содержит около 300 мкг этого микроэлемента.",890,5
Другие,Комплексный анализ крови на витамины группы D (D2 и D3) (метод ВЭЖХ-МС),Кровь,"Исследование крови на определение концентрации витаминов D2 (эргокальциферола) и D3 (холекальциферола).Необходимо для оценки баланса витамина D в организме, а также для контроля за лечением пациентов препаратами витамина D.",2990,7
Другие,Копрограмма,Кал,"Консистенция стула определяется процентным содержанием в нем воды. Нормальным принято считать содержание воды в кале 75 %. В этом случае стул имеет умеренно плотную консистенцию и цилиндрическую форму, т. е. кал оформленный. Употребление повышенного объема растительной пищи, содержащей много клетчатки, приводит к усилению перистальтики кишечника, при этом кал становится кашицеобразным. Более жидкая консистенция, водянистая, связана с повышением содержания воды до 85 % и более.",590,1
Другие,Креатинин мочи,Суточная моча,"Креатинин - это конечный продукт распада креатина и креатинфосфата, который выделяется почками и используется в оценке их выделительной и фильтрационной функции.",290,1
Другие,Криоглобулины,Сыворотка,"Криоглобулины – белки плазмы, выпадающие осадком при температуре ниже 37° C. Анализ на криоглобулины. Показывает наличие иммуноглобулинов в крови и помогает выявить у больного патологический воспалительный процесс, чтобы своевременно начать терапию",990,7
Другие,Ламотриджин,Кровь,Лабораторный анализ для оценки эффективности терапии и предупреждения токсических эффектов Ламотриджина.,3190,3
Другие,Лебеда чечевицевидная IgG (ImmunoCAP),Кровь,"Количественное определение в крови специфических антител, иммуноглобулинов класса G, появляющихся при наличии аллергической реакции к лебеде чечевидной.",890,3
Другие,Леветирацетам,Кровь,Лабораторный анализ для оценки эффективности терапии и предупреждения токсических эффектов Леветирацетама.,3190,3
Другие,"Литий в волосах, спектрометрия",Волосы,"Определение концентрации лития в волосах, используемое для диагностики хронической интоксикации литием, в том числе при использовании лекарственных препаратов лития.",890,5
Другие,"Магний в волосах, спектрометрия",Волосы,"Определение концентрации магния в образце волоса, используемое для оценки нутриентного статуса организма, особенно при диагностике задержки роста, аутизма, фибромиалгии и некоторых других заболеваний.",890,5
Другие,Магний в моче,Суточная моча,"Магний – четвертый по количеству элемент в организме человека после калия, натрия, кальция и второй по количеству в клетке после калия. Около 75% магния сыворотки находится в ионизированной форме, 22% связано с альбумином и 3% с глобулинами Магний играет важную роль в функционировании нервно-мышечного аппарата.",390,5
Другие,"Марганец в волосах, спектрометрия",Волосы,"Определение концентрации марганца в волосах, используемое для диагностики хронической интоксикации марганцем, а также для оценки баланса этого микроэлемента в организме.",890,5
Другие,"Медь в волосах, спектрометрия",Волосы,"Медь в волосах – лабораторный тест, направленный на определение содержания меди в образце волос. Медь является наиболее распространенным, после цинка и железа, микроэлементом в организме человека. Она принимает участие во многих метаболических процессах организма человека, и потому является жизненно необходимым микроэлементом. Медь входит в состав ферментов и белков, участвующих в процессах кроветворения (обмен железа и синтез гемоглобина), в формировании коллагена соединительной ткани, образовании миелина – основного белка изолирующей оболочки нервных волокон.",890,5
Другие,Медь в моче,Моча,"Количественное определение содержания меди в порции мочи, которое позволяет оценить избыток или дефицит данного микроэлемента в организме.
Для чего используется исследование?
- диагностика болезни Вильсона – Коновалова;
- диагностика острого или хронического отравления медью и медьсодержащими веществами;
- мониторинг лечения болезни Вилсона – Коновалова;
- диагностика дефицита или избытка меди в организме.",990,5
Другие,Мелатонин в сыворотке крови,Сыворотка,"Мелатонин — это основной гормон эпифиза, регулятор суточных ритмов; гормон, который вырабатывается шишковидной железой или эпифизом. Мелатонин играет важную роль в регуляции суточных ритмов. Он поддерживает циклы сна и бодрствования, регулирует изменение двигательной активности и температуры тела в течение суток, участвует в ускорении адаптации при смене часовых поясов. Изменение концентрации этого гормона в крови может вызвать расстройство сна, депрессии.",3490,7
Другие,Метгемоглобин,Кровь,"Метгемоглобин (MetHb) – вариант гемоглобина, который образуется при переходе двухвалентного железа в трехвалентное. В результате гем утрачивает способность связываться с кислородом и транспортировать кислород в ткани, что приводит к развитию гипоксии. Образование метгемоглобина происходит в месте ушибов, а также при соприкосновении крови с воздухом (взятии крови, гематурии). Его концентрация в крови в норме не должна превышать 1 %",690,3
Другие,"Микрореакция на сифилис, качественно",Сыворотка,"Микрореакция относится к неспецифическим методам исследования, потому что выявляет не возбудитель, а повреждение клеток. Их разрушение может возникать при других патологиях в организме. Тест выявляет антитела против кардиолипина (липида, который входит в состав мембраны митохондрий и бактерий). Эти антитела присутствуют в крови у больных сифилисом.",390,1
Другие,Микроскопическое исследование назального секрета (на эозинофилы),Мазок из полости носа,"Риноцитограмма – это исследование слизи из полости носа под микроскопом. Оно позволяет определить наличие в носовой слизи клеток, характерных для аллергических или инфекционных заболеваний, вызывающих ринит – воспаление слизистой оболочки носа. При длительном насморке в некоторых случаях определение вызвавшей его причины бывает затруднено. С этой целью и проводится риноцитограмма, которая позволяет выявить увеличенное количество эозинофилов, что служит дополнительным аргументом в пользу аллергической природы насморка. Аллергический и инфекционный ринит лечатся по-разному, именно поэтому важно определить причину насморка.",290,1
Другие,"Молибден в волосах, спектрометрия",Волосы,"Молибден в волосах – это количественный метод определения уровня молибдена в образце волос. Молибден – это микроэлемент, повсеместно встречающийся в виде соединений. Количество молибдена в продуктах питания зависит от относительного количества молибдена, содержащегося в почве и воде. К хорошим источникам молибдена относятся зерно, орехи и бобовые, такие как горох, чечевица и фасоль, соя. Рекомендуемое ежедневное потребление составляет 45 мкг.",890,5
Другие,Мочевина суточной мочи,Суточная моча,"Мочевина – это один из конечных продуктов распада белков в организме, входит в группу веществ, относящихся к остаточному азоту крови. Ее уровень отражает состояние белкового баланса. Мочевина выводится через почки вместе с мочой, поэтому содержание мочевины в моче – один из значимых клинико-лабораторных показателей выделительной функции почек.",290,1
Другие,"Мышьяк в волосах, спектрометрия",Волосы,"Мышьяк оказывает влияние на окислительные процессы в клетке. Основное значение данный микроэлемент имеет в качестве яда. Интоксикация мышьяком сопровождается желудочно-кишечными расстройствами, нарушениями в работе сердца. Основные проявления отравления отмечаются со стороны нервной системы в виде параличей, нарушений чувствительности, судорог.",890,5
Другие,"Наркотические и психотропные вещества в моче: опиаты и их синтетические аналоги (героин, морфин, ментадон, трамадон); амфетамин и его производные (метод ГХ-МС)",Моча,"Анализ мочи позволяет дать наиболее развернутую картину о приеме психотропных и наркотических препаратов, которые сохраняются в урине дольше, чем в крови. Ввиду того, что сроки выведения химико-токсилогических веществ могут составлять от 2-3 дней до нескольких месяцев, то есть возможность в полной мере оценить состояние организма.",3890,3
Другие,Нейрон-специфическая энолаза,Сыворотка,"Нейронспецифическая энолаза (NSE) – изоформа фермента энолазы, необходимого для осуществления гликолиза. Это маркер опухолей нейроэндокринного происхождения.",1790,7
Другие,Ненасыщенные жирные кислоты семейства Омега-3,"Сыворотка, Кровь с EDTA","Омега-3 индекс - показатель, который отражает риск развития сердечно-сосудистых заболеваний. Ненасыщенные жирные кислоты (ННЖК) семейства омега-3 необходимы для деления и роста клеток, процессов пищеварения, свертывания крови, функции головного мозга и клеточного транспорта.",4490,7
Другие,"Никель в волосах, спектрометрия",Волосы,"Определение концентрации никеля в волосах, используемое для диагностики хронической интоксикации этим металлом. Никель (Ni) является одним из представителей тяжелых металлов, соединения которого оказывают тяжелое токсическое воздействие на органы дыхательной системы, сердца, печени, почек, надпочечников, поджелудочной железы, селезенки, кожи. Особенно опасны такие соединения никеля, как карбонил, оксиды, сульфиды, которые могут вызывать острое и хроническое отравление, а также обладать канцерогенным эффектом.",890,5
Другие,"Ниобий в волосах, спектрометрия",Волосы,"Определение концентрации ниобия в волосах, используемое для диагностики хронической интоксикации этим металлом.",890,5
Другие,Общая железосвязывающая способность (ОЖСС) + Индекс насыщения трансферрина,Сыворотка,"Железо, являясь важным микроэлементом, отвечающим за транспортировку кислорода в крови с последующей доставкой их в ткани, образует связи с белками. Только так оно может концентрироваться в крови и тканях. При этом железо попадает в организм с пищей и всасывается стенками кишечника. В случае недостатка железа появляются проблемы с процессом кроветворения, что приводит к анемии. В ряде случаев анемия может быть скрытой. Поэтому одного анализа на содержание железа в крови не достаточно. Может потребоваться анализ на общую железосвязывающую спосбность (ОЖСС), а также ЛЖСС, уровень трансферрина.",490,1
Другие,Общий L-карнитин Метод ВЭЖХ-МС,Кровь,"L-карнитин – кофактор многих биохимических реакций в организме человека. Он участвует в регуляции оксидативного стресса и апоптоза. Избыток L-карнитина не опасен для человека. Дефицит может привести к различным нарушениям, затрагивающим практически все системы и органы.",2590,7
Другие,Общий анализ мокроты,Мокрота,"Общий анализ мокроты – исследование, включающее макроскопическую оценку секрета (количество, цвет, консистенция, характер, наличие примесей), и его микроскопию.
Микроскопия мокроты позволяет оценить клеточный состав, наличие волокон, кристаллов, микрофлоры.
Общий анализ мокроты не является методом диагностики специфических заболеваний легких и дыхательных путей (например, туберкулёза).",390,1
Другие,"Олово в волосах, спектрометрия",Волосы,"Определение концентрации олова в волосах, используемое для диагностики хронической интоксикации этим металлом.",890,5
Другие,"Олово в моче, спектрометрия",Суточная моча,"Исследование концентрации олова в моче – анализ, применяемый для мониторинга терапии данным препаратом, выявления причины побочных эффектов, а также диагностики отравлений.",890,5
Другие,Определение Kell антигена (K),Кровь с EDTA,"Антигены Kell используются для трансфузии. Kell-отрицательным реципиентам от донорской крови, содержащей эритроциты, которые несут эти антигены с высокой вероятностью могут возникнуть посттрансфузионные осложнения. 
У Келл-положительных доноров для трансфузии можно применять и тромбоциты, и плазму, но только не эритроциты. Эти антигены чаще всего являются главной причиной развития гемолитической патологии новорожденных детей.",990,5
Другие,Определение химического состава мочевого конкремента,Мочевой камень,"Идентификация вещества по его кристаллохимическим характеристикам, определение различных дефектов, нарушений и других особенностей кристаллической структуры.",4490,7
Другие,Опухолевая пируваткиназа Тu M2 в кале,Кал,"Опухолевая М2-пируваткиназа – онкомаркер, фермент жизнедеятельности опухолевых клеток. Определение его количества в кале используется для ранней диагностики и мониторинга опухолей желудочно-кишечного тракта: рака прямой, ободочной и слепой кишки, для выявления метастазов, распространившихся в кишечник. Анализ назначается в рамках скрининга людям из групп риска – старше 50 лет, имеющим неспецифический язвенный колит, диспластические полипы, наследственную предрасположенность, а также пациентам с симптомами онкопатологии ЖКТ – снижением веса, аппетита, анемией, запорами, диареей.",4590,5
Другие,"ПСА своб. + ПСА общ. + ПСА св./ПСА общ., %",Сыворотка,"Анализ ПСА общий и свободный назначается врачом-урологом для диагностики рака простаты. Это исследование позволяет с высокой точностью определить наличие и степень развития заболевания. Для более точной диагностики анализируются оба показателя, а также выявляется их процентное соотношение.",990,1
Другие,"Панель аллергенов животных № 1 IgE (эпителий кошки, перхоть лошади, перхоть коровы, перхоть собаки)",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к животным.",1290,4
Другие,"Панель аллергенов животных № 70 IgE (эпителий морской свинки, эпителий кролика, хомяк, крыса, мышь)",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к животным.",1290,4
Другие,"Панель аллергенов животных/перья птиц/ № 71 IgE (перо гуся, перо курицы, перо утки, перо индюка)",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к животным/перьям птиц.",1290,4
Другие,"Панель аллергенов животных/перья птиц/ № 72 IgE (перо волнистого попугая, перо попугая, перо канарейки)",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к животным/перьям птиц.",1290,4
Другие,"Панель аллергенов педиатрическая № 4 (RIDA-screen), IgE",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции.",4990,5
Другие,"Панель аллергенов респираторная № 2 (RIDA-screen), IgE",Сыворотка,"Исследование предназначено для скринингового обследования детей и взрослых при подозрении на аллергию. В состав исследования входят:аллергены плесени: Alternaria tenuis, penicillium notatum, сladosporium herbarum, аspergilus fumigatus.
Аллергены клещей и домашней пыли: Dermatophagoides pteronyssinus, dermatophagoides farinae.
Аллергены животного происхождения: кошка IgE, лошадь IgE, собака IgE, морская свинка IgE, золотистый хомячок IgE, кролик IgE.
Аллергены пыльцы растений: ольха IgE, береза IgE, лещина обыкновенная IgE, дуб IgE, смесь трав IgE, рожь многолетняя IgE, полынь обыкновенная IgE, подорожник IgE.",5190,5
Другие,"Панель профессиональных аллергенов № 1 IgE перхоть лошади, перхоть коровы, перо гуся, перо курицы",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к перхоти лошади, перхоти коровы, перу гуся, перу курицы.",1290,4
Другие,Панкреатическая эластаза 1 в кале,Кал,"Панкреатическая эластаза 1- протеолитический фермент системы пищеварения, продуцируемый исключительно ПЖ. Эластаза расщепляет внутренние связи белка (нейтральные аминокислоты). Она присутствует в человеческом панкреатическом соке и кале.",2690,5
Другие,Пепсиноген - II,Кровь,"Пепсиноген II – это предшественник фермента пепсина, участвующего в переваривании белка в желудочно-кишечном тракте. Он является лабораторным индикатором H. Pylori-ассоциированного гастрита, язвы желудка и двенадцатиперстной кишки, а также некоторых опухолей.",3990,7
Другие,Пепсиноген I,Кровь,"Пепсиноген I – это предшественник фермента пепсина, необходимого для переваривания белка. Он является индикатором повреждения слизистой оболочки тела желудка.",1290,7
Другие,Поверхностный антиген вируса гепатита В (HBsAg),Сыворотка,"Поверхностный антиген вируса гепатита В (HВsAg) является белком, который присутствует на поверхности вируса, вызывающего гепатит В. Он обнаруживается в крови при остром и хроническом гепатите В. Качественный анализ.",490,1
Другие,"Празеодим в волосах, спектрометрия",Волосы,"Определение концентрации празеодима в волосах, используемое для диагностики хронической интоксикации этим металлом.",890,5
Другие,Проба Кумбса (непрямая),Кровь,"Исследование выявляет антитела в плазме крови, что необходимо для оценки совместимости при переливании и диагностики рисков резус-конфликта во время беременности.",1490,3
Другие,Проба Кумбса (прямая),Кровь,"Исследование позволяет обнаружить антитела на поверхности эритроцитов. Это необходимо для диагностики уже имеющихся гемолитических патологий. Иногда к проведению теста Кумбса прибегают в том случае, когда необходимо выявить причины развития таких патологий, как анемия и желтуха.",890,3
Другие,Проба Реберга,Моча,"Проба Реберга представляет собой комплексное исследование креатинина по его содержанию в крови и моче. Вещество фильтруется почками, а при возникновении патологий фильтрации происходит активный выброс креатинина в кровь. При сравнении содержания уровня креатинина в моче и крови удается вычислить клиренс эндогенного креатинина, который отражает уровень клубочковой фильтрации. Это дает возможность выявить отклонения от нормы. Результаты теста могут зависеть от роста, веса, мышечной массы пациента.",390,1
Другие,Проба Сулковича (моча),Моча,"Полуколичественный метод определения содержания кальция в моче, применяемый для диагностики и контроля лечения заболеваний, которые сопровождаются нарушением метаболизма данного микроэлемента.",490,1
Другие,Простатический специфический антиген (ПСА) общий,Сыворотка,"Простатспецифический антиген общий – это количество в крови доступных для определения фракций вещества, входящего в состав секрета предстательной железы, – сериновой протеазы. Простатспецифический антиген является лабораторным маркером состояния ткани предстательной железы.",790,1
